Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
"4472-4474-4476-4478, rue Parthenais",1 599 999 $,Le Plateau-Mont-Royal,Montréal / l'Île,3,2,,,,26.35x438.68 pi (8.03x133.71 m),"10 438,42 $","1 276,42 $",,"2 922,45 $"
"234, rue de la Station",199 500 $,Armagh,Chaudière-Appalaches,5,,,,,40 000 pi² (3 716.12 m²),"1 400,00 $",,"200,00 $",
"960-962, 2e Avenue",349 000 $,Ste-Anne-De-La-Perade,Mauricie,3,,,,,11 273 pi² (1 047.3 m²),"3 864,98 $","210,00 $","6 400,00 $","3 012,76 $"
"524A-1400, rue Ottawa",725 000 $,Griffintown,Montréal / l'Île,2,2,,1,843.89 pi² (78.4 m²),844 pi² (78.41 m²),"3 500,00 $","370,00 $","360,00 $","600,00 $"
"161, 1er Rang",750 000 $,St-Ferdinand,Centre-du-Québec,3,1,1,2,30x30 pi (9.14x9.14 m),6 969 600.02 pi² (160 acres),,,"1 000,00 $","3 000,00 $"
", rang d'Ailleboust",93 500 $,Ste-Beatrix,Lanaudière,,,,,,47 311 pi² (4 395.34 m²),"501,99 $","18,12 $",,
"128, chemin du Lac Opémiska",425 000 $,Chapais,Nord-du-Québec,3,1,,1,3 627 pi² (336.96 m²),121 875 pi² (11 322.56 m²),"3 391,20 $","213,50 $","2 232,00 $","1 081,00 $"
"1, rue du Mont-Blanc",20 000 $,Ste-Agathe-Des-Monts,Laurentides,,,,,,29 452.21 pi² (2 736.2 m²),,,,
"3589, route de l'Aéroport",365 000 $,Val-Bélair,Québec Rive-Nord,3,1,1,2,1 156 pi² (107.4 m²),2 028 pi² (188.41 m²),"2 845,00 $","241,00 $","1 800,00 $",
"3910, rue Latour",598 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),4,2,,1,902.12 pi² (83.81 m²),50x136 pi (15.24x41.45 m),"3 030,97 $","282,79 $","1 260,00 $","1 017,00 $"
,522 500 $Prix de vente fourni par le vendeur à DuProprio.,St-Sauveur,Laurentides,2,1,1,2,1 722 pi² (159.98 m²),10 151.44 pi² (943.1 m²),,,,
"120-324, rue du Bosquet",225 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,2,1,1,2,1 619 pi² (150.41 m²),,"1 781,69 $","105,76 $","1 140,00 $",
"9385, boulevard Henri-Bourassa",299 000 $,Charlesbourg,Québec Rive-Nord,4,,,,,6 440 pi² (598.3 m²),"2 600,00 $","275,00 $","2 580,00 $",
"4B-6712, boulevard Sainte-Anne",173 000 $,L'Ange-Gardien,Québec Rive-Nord,2,1,,1,1 000 pi² (92.9 m²),,"1 800,00 $",,"750,00 $",
"1549-1551, rue Édouard",350 000 $,Ste-Julienne,Lanaudière,3,2,,,,7 449.70 pi² (692.1 m²),"2 119,00 $",,"1 900,00 $","1 800,00 $"
"550, rue des Bains",620 000 $,St-Honore-De-Chicoutimi,Saguenay-Lac-Saint-Jean,3,2,,1,,138 305 pi² (12 848.95 m²),"4 121,29 $","334,03 $","3 866,52 $",
"403-7, boulevard Simard",495 000 $,St-Lambert,Montérégie (Rive-Sud Montréal),2,2,,1,1 366 pi² (126.91 m²),,"3 356,79 $","384,92 $","1 136,00 $",
"3-54, rue des Satellites",349 900 $,Gatineau (Hull),Outaouais,2,1,,1,"1,076 pi² (99.96 m²)",,"2 679,60 $","270,54 $","840,00 $","500,00 $"
"431-433-435, boulevard Royal",152 000 $,St-Tite,Mauricie,5,3,,,,15 410.69 pi² (1 431.7 m²),"2 310,16 $","163,21 $",,
"1531, chemin David",980 000 $,Prévost,Laurentides,5,3,2,2,2 800 pi² (260.13 m²),51 000 pi² (4 738.06 m²),"3 600,00 $",,,
"4702, rue La Perrière",444 000 $,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),3,1,,1,"1,326 pi² (123.19 m²)","49,425 pi² (4,591.73 m²)","2 657,72 $","239,51 $","788,61 $","432,00 $"
"1125, chemin Tiffin",689 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),4,2,,2,1 475 pi² (137.03 m²),5 479 pi² (509.02 m²),"3 376,08 $","319,99 $","1 000,00 $","1 107,44 $"
"712, rue Lahaie",Prix sur demande,Pont-Viau,Laval,7,3,,,,4 837.3 pi² (449.4 m²),"4 976,67 $","478,45 $","3 564,12 $","2 184,00 $"
,770 000 $Prix de vente fourni par le vendeur à DuProprio.,St-Jean-sur-Richelieu (St-Athanase),Montérégie (Rive-Sud Montréal),8,4,,,,7 200 pi² (668.9 m²),,,,
"81, rue de la Providence",524 900 $,Ste-Mélanie,Lanaudière,4,3,1,2,1 703 pi² (158.21 m²),23 243 pi² (2 159.35 m²),"2 851,00 $","351,00 $","2 300,00 $","85,57 $"
"131, chemin de la Pointe-aux-Trembles",329 000 $,Chambord,Saguenay-Lac-Saint-Jean,2,1,,1,643.68 pi² (59.8 m²),4 863.13 pi² (451.8 m²),"1 380,00 $",,,
"1253, route 112",60 000 $,Austin,Estrie,1,1,,1,8x24 pi (2.44x7.32 m),,,,,
"91, rue de Ia Gare",325 000 $,Chambord,Saguenay-Lac-Saint-Jean,4,2,,2,3 590 pi² (333.52 m²),125.00x109.97 pi (38.1x33.52 m),"2 500,00 $",,,
"301-100, boulevard Bélanger",449 000 $,Beaupré,Québec Rive-Nord,3,1,,1,1 175 pi² (109.16 m²),2 680.75 pi² (249.05 m²),"2 793,40 $","255,00 $","1 462,68 $","1 164,00 $"
rue de la Tourbière,293 900 $,St-Raymond,Portneuf,2,1,,1,,,,,,
"2816, rue des Patineurs",289 000 $,St-Étienne-De-Lauzon,Québec Rive-Sud (Lévis),5,1,1,2,1 404 pi² (130.44 m²),,,,,
"51, avenue Georges",750 000 $,Candiac,Montérégie (Rive-Sud Montréal),4,2,,1,,52.5x91.6 pi (16.00x27.92 m),"2 400,00 $","300,00 $","700,00 $","1 750,00 $"
"675, place de l'Eau-Vive",998 000 $,Ste-Dorothée,Laval,3,2,1,3,2 108 pi² (195.84 m²),9 830 pi² (913.24 m²),"5 429,49 $","636,72 $","3 840,00 $","2 200,00 $"
"11-13-15, chemin de l'Ange",64 000 $,Ste-Lucie-De-Beauregard,Chaudière-Appalaches,,,,,,400 096.70 pi² (37 170.2 m²),"673,06 $",,,
"308-308A, 4e avenue",198 000 $,St-Paul-De-Montminy,Chaudière-Appalaches,4,2,,2,2 114.03 pi² (196.4 m²),5 392.72 pi² (501 m²),"3 612,30 $","74,24 $","1 089,98 $","779,29 $"
"2624, rue Dollard",518 000 $,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),3,1,,1,963 pi² (89.47 m²),5 812 pi² (539.95 m²),"2 393,00 $","235,00 $",,
"1452, 16e Rue",245 000 $,St-Côme-Linière,Chaudière-Appalaches,3,1,1,2,1 352 pi² (125.6 m²),5 403 pi² (501.96 m²),,,,
"976, rue Guillaume Boisset",388 000 $,Cap-Rouge,Québec Rive-Nord,4,2,,1,1 040 pi² (96.62 m²),12 378.50 pi² (1 150 m²),"4 000,00 $",,"2 000,00 $","900,00 $"
"222-235, cercle des Cantons",899 000 $,Bromont,Estrie,3,2,,1,1 256 pi² (116.69 m²),,"3 999,67 $",,,"678,00 $"
"631, rue Anne-Hébert",610 000 $,Terrebonne (Terrebonne),Lanaudière,2,1,1,3,1 691 pi² (157.1 m²),2 543.40 pi² (236.29 m²),"4 238,00 $","323,00 $","1 545,00 $","620,00 $"
"12, rue du Manoir",734 000 $,Pointe-des-Cascades,Montérégie Ouest,5,2,1,2,2 068 pi² (192.12 m²),5 323 pi² (494.52 m²),"4 474,23 $","369,77 $","1 320,00 $",
"3, rue Albert",959 000 $,Beaulac Garthby,Chaudière-Appalaches,4,2,1,2,4 672 pi² (434.04 m²),54 429 pi² (5 056.62 m²),"4 772,38 $","549,77 $","3 984,00 $",
"2081, rang Saint-Joseph Nord",49 500 $,Girardville,Saguenay-Lac-Saint-Jean,,,,,,123 838.79 pi² (11 505 m²),"215,06 $",,,
"1655, rue Fabre",299 999 $,L'Ancienne-Lorette,Québec Rive-Nord,3,2,,1,1 016 pi² (94.39 m²),8 966 pi² (832.97 m²),,,,
"1214, chemin de Lausanne",359 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,5,2,,1,1 248 pi² (115.94 m²),33 912.78 pi² (3 150.6 m²),"3 700,00 $",,"3 200,00 $","2 055,00 $"
"589, route d'Irlande",219 000 $,Percé,Gaspésie-Îles-de-la-Madeleine,3,1,1,2,2 200 pi² (204.39 m²),55 057.40 pi² (5 115 m²),"1 500,00 $","140,00 $","500,00 $","1 700,00 $"
"680, rue Hallé",425 000 $,Lévis,Québec Rive-Sud (Lévis),3,2,1,1,952.61 pi² (88.5 m²),5 200.05 pi² (483.1 m²),,,,
,480 000 $Prix de vente fourni par le vendeur à DuProprio.,Drummondville (Drummondville),Centre-du-Québec,2,2,,1,1 420 pi² (131.92 m²),,,,,
"5804, rue Eadie",1 679 000 $,Le Sud-Ouest,Montréal / l'Île,7,3,,,,2 305.63 pi² (214.2 m²),"6 979,59 $","755,00 $","2 391,58 $","3 228,58 $"
"3454, rue des Castors",1 145 000 $,Fabreville,Laval,6,3,1,2,,4 600 pi² (427.35 m²),"4 810,00 $","587,00 $",,
"511, rue Legault",424 900 $,Ste-Adèle,Laurentides,2,1,1,1,1 119 pi² (103.96 m²),9 017 pi² (837.71 m²),"2 000,00 $","176,00 $","2 144,00 $","2 484,00 $"
"12, rue Dufort",734 900 $,St-Roch-De-L'Achigan,Lanaudière,7,3,1,2,2 800 pi² (260.13 m²),5 500 pi² (510.97 m²),"3 800,00 $","250,00 $","3 600,00 $","1 300,00 $"
"12724, rue Jean-Paul-Maisonneuve",330 000 $,Mirabel (St-Augustin),Laurentides,2,1,,1,1 075 pi² (99.87 m²),8 050 pi² (747.87 m²),"1 194,61 $","172,00 $","649,32 $","444,00 $"
", rue Guertin",299 000 $,St-Roch-De-Richelieu,Montérégie (Rive-Sud Montréal),,,,,,120 512 741 pi² (11 196 000 m²),"391,42 $","25,96 $",,
", chemin du Bôme",80 000 $,St-Félicien,Saguenay-Lac-Saint-Jean,,,,,,100 400 pi² (9 327.47 m²),,,,
"389, boulevard Saint-Pierre",260 000 $,St-Raphael-de-Bellechasse,Chaudière-Appalaches,,,,,,1 824 pi² (169.46 m²),"2 233,20 $","80,95 $",,
chemin Tâché Ouest,46 000 $,St-Hubert-De-Rivière-Du-Loup,Bas-Saint-Laurent,,,,,,19 573 pi² (1 818.39 m²),,,,
"211, rue de la Forêt",720 000 $,Trois-Rivières (Pointe-Du-Lac),Mauricie,5,3,1,2,3 200 pi² (297.29 m²),9 432 pi² (876.26 m²),"5 705,00 $",,,"900,00 $"
chemin de l'Étendard,77 910 $,Petite-Rivière-St-François,Charlevoix,,,,,,76 603.52 pi² (7 116.7 m²),,,,
"1417, rue Emerson",230 000 $,Val-Bélair,Québec Rive-Nord,2,1,,1,973.06 pi² (90.4 m²),2 446.10 pi² (227.25 m²),"1 856,26 $","145,75 $",,"447,68 $"
"143-143A, route 109",359 000 $,St-Mathieu-d'Harricana,Abitibi-Témiscamingue,5,4,,,,62 623 pi² (5 817.87 m²),"2 597,01 $","245,66 $","2 078,26 $","1 278,96 $"
"8488, avenue Casgrain",534 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,2,1,1,2,1 097 pi² (101.91 m²),,"2 795,00 $","325,00 $",,
", route 309",345 000 $,Ferme-Neuve,Laurentides,,,,,,4 533 528.63 pi² (421 178.59 m²),"1 019,00 $","77,00 $",,
"7074, rue Rondeau",799 000 $,Anjou,Montréal / l'Île,3,1,,,,2 625.32 pi² (243.9 m²),"3 598,97 $","392,19 $",,"1 515,00 $"
Projet Les Bories,83 500 $,Morin-Heights,Laurentides,,,,,,34 316 pi² (3 188.06 m²),"332,33 $",,,
"704-100, rue Rhéaume",475 000 $,Verdun,Montréal / l'Île,2,1,1,1,776 pi² (72.09 m²),,"2 280,38 $",,"1 125,00 $","660,00 $"
"1925, avenue Lortie",495 000 $,Beauport,Québec Rive-Nord,,,,,,8 340 pi² (774.81 m²),"8 256,92 $",,,
"664, chemin Bédard",649 900 $,Chénéville,Outaouais,2,1,1,2,1 430 pi² (132.85 m²),113 256.00 pi² (2.6 acres),"3 980,32 $","250,53 $",,"571,00 $"
"37, rue Octave-Crémazie",680 000 $,Gatineau (Gatineau),Outaouais,3,2,1,2,1 907 pi² (177.17 m²),5 180.67 pi² (481.3 m²),"4 290,49 $","335,77 $",,
"432, route 122 Ouest",549 000 $,St-Guillaume,Centre-du-Québec,2,1,1,2,1 658 pi² (154.03 m²),850 000 pi² (78 967.58 m²),"1 425,91 $","199,79 $",,
"925-927, rue Aubry",600 000 $,Sherbrooke (Fleurimont),Estrie,6,4,,,,92.03x100.00 pi (28.05x30.48 m),"4 759,17 $","400,00 $",,"1 000,00 $"
"68, chemin de la Topaze",950 000 $,L'Ange-Gardien-Outaouais,Outaouais,3,2,2,2,2 181 pi² (202.62 m²),45 251.48 pi² (4 204 m²),,,,
"71, chemin des Bâtisseurs",829 999 $,Val-Des-Monts,Outaouais,3,2,1,2,2 815.84 pi² (261.6 m²),56 851.72 pi² (5 281.7 m²),"5 366,69 $","485,31 $","4 253,67 $","3 010,58 $"
"174, rue Aubert",259 000 $,St-Gilles,Chaudière-Appalaches,5,1,1,2,1 404 pi² (130.44 m²),,,,,
"109-75, rue de Castelnau Ouest",348 000 $,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,,1,,1,519 pi² (48.22 m²),,"2 050,00 $","243,00 $","410,00 $","355,00 $"
"103-300, rue Hart",335 000 $,Trois-Rivières (Trois-Rivières),Mauricie,1,1,,1,715 pi² (66.43 m²),,"3 435,00 $","189,61 $",,"213,64 $"
"30, rue de l'Ancrage",499 999 $,Rivière-Du-Loup,Bas-Saint-Laurent,3,1,1,2,2 111 pi² (196.12 m²),11 275 pi² (1 047.48 m²),"5 123,00 $","366,00 $","3 709,00 $",
"100, rue du Séjour",445 000 $,Rimouski (Rimouski),Bas-Saint-Laurent,3,1,1,2,1 244 pi² (115.57 m²),93.34x88.39 pi (28.45x26.94 m),"2 829,99 $","175,00 $","700,00 $","540,00 $"
rue des Outardes,60 900 $,St-Jean-De-Matha,Lanaudière,,,,,,47 954 pi² (4 455.07 m²),"191,61 $",,,
"10, rue Émile-Nelligan",1 320 000 $,ND-De-L'Ile-Perrot,Montérégie Ouest,5,2,1,2,3 800 pi² (353.03 m²),13 368.78 pi² (1 242 m²),"5 985,75 $","714,68 $",,
"2714, avenue Chauveau",179 000 $,Neufchatel,Québec Rive-Nord,1,1,,2,525 pi² (48.77 m²),,"1 757,00 $","141,00 $","500,00 $","225,00 $"
"132, rue Baribeau",405 000 $,Gatineau (Gatineau),Outaouais,3,2,,2,"1,079 pi² (100.24 m²)","3,658 pi² (339.84 m²)","2 759,53 $","186,00 $","689,16 $","2 383,36 $"
"50, rue Paquin",849 000 $,Ste-Mélanie,Lanaudière,5,3,1,2,3 249 pi² (301.84 m²),44 106 pi² (4 097.58 m²),"2 863,98 $","472,51 $","4 218,00 $","1 818,12 $"
"901, avenue de la Traversée",650 000 $,Salaberry-De-Valleyfield,Montérégie (Rive-Sud Montréal),4,2,1,2,1 380 pi² (128.21 m²),4 680.15 pi² (434.8 m²),"2 783,00 $","205,00 $","2 400,00 $",
"8, rue King-Edward",1 250 000 $,Longueuil (LeMoyne),Montérégie (Rive-Sud Montréal),3,1,,,,7 559.49 pi² (702.3 m²),"6 702,53 $","678,02 $","430,21 $",
"549, route Principale",1 100 000 $,Daveluyville,Centre-du-Québec,3,1,,2,"1,421 pi² (132.02 m²)","1,085,669.54 pi² (100,862 m²)","3 186,03 $","143,94 $","2 906,07 $",
"8, chemin du Cap-aux-Corbeaux Sud",799 000 $,Baie-St-Paul,Charlevoix,7,3,,2,2 031 pi² (188.69 m²),31 255.17 pi² (2 903.7 m²),"3 622,71 $","346,74 $","2 860,00 $",
"1-5235, avenue de Gaspé",549 000 $,Le Plateau-Mont-Royal,Montréal / l'Île,2,1,,1,1 047 pi² (97.27 m²),,"2 479,49 $","263,68 $","900,00 $",
"1005, rue Lavoie",500 000 $,St-Félicien,Saguenay-Lac-Saint-Jean,,,,,,646 282.41 pi² (60 041.6 m²),"327,54 $",,,
Lady Aylmer - Par Maisons Laprise,447 500 $,St-Nicolas,Québec Rive-Sud (Lévis),,,,,,16 777 pi² (1 558.63 m²),,,,
rue Legros,65 000 $,Paspebiac,Gaspésie-Îles-de-la-Madeleine,,,,,,16 691.60 pi² (1 550.7 m²),"668,97 $",,,
"12378-12378A-12380, rue Notre-Dame Est","999 000,85 $",Pointe-Aux-Trembles / Montréal-Est,Montréal / l'Île,10,4,,,,19 440 pi² (1 806.04 m²),"8 300,00 $","933,04 $",,
"1800, chemin Chertsey",689 000 $,Chertsey,Lanaudière,3,2,1,2,2 000 pi² (185.81 m²),454.49x574.15 pi (138.53x175 m),"3 393,00 $","320,00 $","3 600,00 $",
", chemin Jacques-Labrecque",79 800 $,Petite-Rivière-St-François,Charlevoix,,,,,,70 977 pi² (6 593.98 m²),,,,
"106-108, rue Gravel",430 000 $,Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,4,2,,,,14 500 pi² (1 347.09 m²),"4 138,04 $","272,45 $",,
"301-15, place du Soleil",840 000 $,L'Ile Des Soeurs,Montréal / l'Île,2,1,1,2,"1,466 pi² (136.2 m²)",,"2 982,31 $","363,29 $","1 050,00 $",
"488, boulevard Jérobelle",849 000 $,St-Jérôme (Bellefeuille),Laurentides,7,3,,,,6 329 pi² (587.98 m²),"7 005,65 $","442,47 $",,
"10850, boulevard Saint-Vital",719 000 $,Montréal-Nord,Montréal / l'Île,4,2,1,2,1 553 pi² (144.28 m²),2 338 pi² (217.21 m²),"3 972,00 $","440,00 $","1 400,00 $",
"9805, chemin Baillargeon",120 000 $,Nantes,Estrie,,,,,,185 000 pi² (17 187.06 m²),,,,
"449, rue de la Gare",315 000 $,Mont-Blanc (St-Faustin-Lac-Carré),Laurentides,1,,,,,14 803.61 pi² (1 375.3 m²),"2 773,38 $","120,00 $","1 800,00 $","2 000,00 $"
"83-85, rue Saint-Lambert",500 000 $,Ste-Therese,Laurentides,4,2,,,,4 000 pi² (371.61 m²),"3 534,91 $",,,
"103, avenue Parent",339 000 $,Baie-Comeau,Côte-Nord,3,1,2,2,2 249.66 pi² (209 m²),7 555.19 pi² (701.9 m²),"4 811,00 $","220,00 $","3 088,00 $","1 464,00 $"
"3-441, chemin Masson",208 900 $,Ste-Marguerite-Du-Lac-Masson,Laurentides,2,1,1,2,1 017 pi² (94.48 m²),,"2 914,72 $","453,84 $","2 300,00 $","468,00 $"
"205-295, rue de Vimy",449 000 $,St-Bruno-De-Montarville,Montérégie (Rive-Sud Montréal),1,1,,1,955 pi² (88.72 m²),,"2 395,52 $","289,15 $","600,00 $","700,00 $"
"104-7255, rue de Lunan",419 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,,1,925.70 pi² (86 m²),,"1 799,40 $","224,26 $","804,00 $",
", rue de Sherbrooke",189 000 $,Cowansville,Estrie,,,,,,11 000 pi² (1 021.93 m²),"576,22 $","33,01 $",,
"360-362-364-366, boulevard Ivan Pavlov",1 229 000 $,Vimont,Laval,4,3,,,,6 054 pi² (562.44 m²),"6 873,45 $","690,00 $",,
"570, rue Principale",395 000 $,Batiscan,Mauricie,4,1,1,2,1 450 pi² (134.71 m²),12 750 pi² (1 184.51 m²),"1 233,71 $","56,00 $","2 400,00 $","1 250,00 $"
"503-110, avenue de la Belle-Dame",524 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,2,,1,1 047 pi² (97.27 m²),,"2 509,00 $","293,00 $","583,00 $","360,00 $"
"817, Route des Outaouais",695 000 $,Brownsburg-Chatham,Laurentides,4,2,,1,1 326 pi² (123.19 m²),159 025 pi² (14 773.91 m²),,,,
"127, rue Principale Nord",35 000 $,St-Jean-De-Dieu,Bas-Saint-Laurent,,,,,,32 800 pi² (3 047.22 m²),,,,
"638-2180, rue Sainte-Catherine Est",359 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,,1,474 pi² (44.04 m²),,"1 866,85 $","404,79 $",,"480,00 $"
"326, boulevard Jacques-Cartier",115 000 $,Shannon,Québec Rive-Nord,,,,,,21 546 pi² (2 001.69 m²),,,,
"19, chemin du Lac",779 900 $,Cantley,Outaouais,4,3,,2,1 900 pi² (176.52 m²),53 819.55 pi² (5 000 m²),"4 759,48 $","503,43 $","3 239,92 $",
rue de Cabourg,319 900 $,Val-Bélair,Québec Rive-Nord,2,2,,1,,,,,,
"5949, chemin Saint-Pierre",445 000 $,Chicoutimi (Laterrière),Saguenay-Lac-Saint-Jean,2,2,,2,1 404 pi² (130.44 m²),6 908.28 pi² (641.8 m²),"4 841,49 $","359,22 $","2 400,00 $",
"117, rue Yvon-Daigneault",289 000 $,Papineauville,Outaouais,2,1,,1,1 055 pi² (98.01 m²),7 158.00 pi² (665 m²),,,,
"854, rue d'Iberville",468 000 $,Chicoutimi (Chicoutimi),Saguenay-Lac-Saint-Jean,6,1,1,1,1 389 pi² (129.04 m²),7 669.29 pi² (712.5 m²),"3 352,00 $","937,00 $","2 844,00 $","1 200,00 $"
"3124, rue Édouard-Harbec",1 399 999 $,Carignan,Montérégie (Rive-Sud Montréal),3,2,1,2,"2,100 pi² (195.1 m²)",114.83x72.18 pi (35x22 m),,,,
"195, rue Gauthier",525 000 $,St-Jérôme (St-Jérôme),Laurentides,3,1,,1,1 150 pi² (106.84 m²),4 822 pi² (447.98 m²),"2 670,06 $","213,57 $","1 800,00 $","1 000,00 $"
"7801, avenue Mousseau",572 000 $,Anjou,Montréal / l'Île,3,1,1,2,1 400 pi² (130.06 m²),30x75 pi (9.14x22.86 m),"3 084,62 $","315,39 $","1 600,00 $","742,00 $"
route de la Normandie,42 400 $,Montmagny,Chaudière-Appalaches,,,,,,38 201.12 pi² (3 549 m²),"456,00 $",,,
"3, rue B et B",245 000 $,Gore,Laurentides,,,,,,93 000 pi² (8 639.98 m²),"255,00 $",,,
"206-1360, avenue du Golf-de-Bélair",259 900 $,Val-Bélair,Québec Rive-Nord,2,1,1,2,979.51 pi² (91 m²),,"1 984,12 $","158,04 $",,
"58, rue Alice",210 000 $,Trois-Rivières (Cap-De-La-Madeleine),Mauricie,3,1,1,1,700 pi² (65.03 m²),4 800 pi² (445.93 m²),"1 871,61 $","91,12 $",,
"8520, rue Pierre Dupaigne",299 900 $,Ahuntsic / Cartierville,Montréal / l'Île,1,1,,1,691.04 pi² (64.2 m²),,"1 692,66 $","184,01 $",,
"364, chemin Central",399 000 $,St-François-D'Assise,Gaspésie-Îles-de-la-Madeleine,,,,,,20 989.63 pi² (1 950 m²),"3 106,86 $",,"8 300,00 $",
chemin du Lac Lili,55 000 $,Chertsey,Lanaudière,,,,,,33 000 pi² (3 065.8 m²),,,,
"113-8255, boulevard Leduc",440 000 $,Brossard,Montérégie (Rive-Sud Montréal),2,1,1,1,854.65 pi² (79.4 m²),,"2 071,47 $","242,23 $",,
"2270, rue Pincourt",598 500 $,Duvernay,Laval,3,2,,2,1 000 pi² (92.9 m²),60x100 pi (18.29x30.48 m),"3 105,00 $","322,25 $","3 071,86 $",
"9, rue de l'Avalanche",490 000 $,Beaupré,Québec Rive-Nord,3,2,1,2,1 772 pi² (164.62 m²),8 095 pi² (752.05 m²),"3 028,00 $","274,00 $","1 640,00 $","885,00 $"
2033-2035-2037 rue Geneviève Lamarre,614 000 $,Limoilou,Québec Rive-Nord,6,3,,,,4 997.68 pi² (464.3 m²),"4 932,00 $","346,00 $","2 136,00 $",
"105, chemin Brentwood",1 590 000 $,Beaconsfield / Baie-D'Urfé,Montréal / l'Île,4,2,1,3,55x37 pi (16.76x11.28 m),103x98 pi (31.39x29.87 m),"4 913,64 $","549,38 $",,
"1307, rue Gerry-Boulet",649 000 $,Prévost,Laurentides,3,2,,2,1 104 pi² (102.56 m²),38 929.8 pi² (3 616.7 m²),"2 384,00 $","245,00 $","3 200,00 $","1 900,00 $"
"2-1893, avenue de Lorimier",410 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,2,1,,1,871 pi² (80.92 m²),,"2 106,00 $","261,00 $",,
"2518-2520-2522, rue Hochelga",650 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,6,3,,,,942 pi² (87.51 m²),"3 053,06 $","356,71 $",,
"22, rue des Mille-Roches",799 999 $,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),5,2,,2,2 357.30 pi² (219 m²),8 160 pi² (758.09 m²),"3 544,15 $","330,00 $",,
"440, rang Saint-François-Xavier",899 000 $,Ste-Cecile-De-Levrard,Centre-du-Québec,5,2,1,2,2 482 pi² (230.59 m²),111 078 pi² (10 319.48 m²),"3 019,00 $","254,00 $","595,00 $","6 374,00 $"
512-514-516 rue de Sainte-Lucie,649 000 $,St-Jérôme (St-Jérôme),Laurentides,5,3,,,,53.71x97.41 pi (16.37x29.69 m),"4 130,64 $","327,78 $",,"2 786,49 $"
"105, rue du Lac-Sartigan",299 000 $,St-Alfred,Chaudière-Appalaches,,,,,,43 055.64 pi² (4 000 m²),"1 763,89 $","105,71 $",,
"4531, route 155",225 000 $,Trois-Rives,Mauricie,2,1,1,1,759 pi² (70.51 m²),24 035.8 pi² (2 233 m²),"786,20 $","121,95 $","100,00 $","815,00 $"
"302-859, rue de la Commune Est",717 000 $,Ville-Marie (Centre-Ville et Vieux-Montréal),Montréal / l'Île,1,1,1,1,809 pi² (75.16 m²),,,,"1 000,00 $","275,00 $"
"170, rue du Cabernet",335 000 $,Drummondville (Drummondville),Centre-du-Québec,1,1,,1,888 pi² (82.5 m²),4 100 pi² (380.9 m²),,,,
"3173, rue Delorme",729 000 $,Sherbrooke (Mont-Bellevue),Estrie,5,4,,3,3 600 pi² (334.45 m²),13 159.96 pi² (1 222.6 m²),"4 625,81 $","311,16 $","3 124,27 $","778,00 $"
"340, rue du Damier-Argenté",655 000 $,La Prairie,Montérégie (Rive-Sud Montréal),2,1,,2,1 517 pi² (140.93 m²),,"2 931,21 $","345,40 $","1 296,77 $",
"133, rue Tremblay",465 000 $,Saint-Gédéon,Saguenay-Lac-Saint-Jean,4,2,1,1,1 195 pi² (111.02 m²),10 150.37 pi² (943 m²),"3 012,00 $","273,41 $","2 900,00 $","1 200,00 $"
"221, rue Notre-Dame",540 000 $,St-Germain-De-Grantham,Centre-du-Québec,6,5,,,,106x582 pi (32.31x177.39 m),,,,
"73, chemin aux Quatre-Vents",899 000 $,Chambord,Saguenay-Lac-Saint-Jean,2,1,,2,1 430 pi² (132.85 m²),30 000 pi² (2 787.09 m²),"3 955,00 $","352,05 $","2 309,16 $",
"386-386B, rue de Bondville",1 888 000 $,Lac-Brome (Knowlton),Estrie,4,2,,1,,100x105 pi (30.48x32.00 m),"5 438,00 $","523,00 $","2 450,00 $","1 374,00 $"
"105, rue Gilles-Filiatrault","659 999,99 $",Lachute,Laurentides,1,1,,2,288 pi² (26.76 m²),"16,000 pi² (1,486.45 m²)","2 345,00 $","56,00 $","1 200,00 $",
Les Boisés de L'Apéro,55 500 $,Ste-Christine-D'Auvergne,Portneuf,,,,,,33 000 pi² (3 065.8 m²),,,,
"111, 40e Avenue",298 000 $,Ste-Barbe,Montérégie (Rive-Sud Montréal),,,,,,7 441.09 pi² (691.3 m²),"695,61 $","49,66 $",,
"10, chemin Cedar",98 000 $,La Pêche (Wakefield),Outaouais,,,,,,"22,170 pi² (2,059.66 m²)",,,,
